brand,name,code,hex
SW,Foggy Day,SW6235,#727c7f
SW,Grays Harbor,SW6236,#596368
SW,Dark Night,SW6237,#23383f
SW,Icicle,SW6238,#dbdfe0
SW,Upward,SW6239,#bfc9d0
SW,Windy Blue,SW6240,#aabac6
SW,Aleutian,SW6241,#98a9b7
SW,Bracing Blue,SW6242,#768b9a
SW,Distance,SW6243,#5d6f7f
SW,Naval,SW6244,#2f3d4c
SW,Quicksilver,SW6245,#dde2e0
SW,North Star,SW6246,#cad0d2
SW,Krypton,SW6247,#b8c0c3
SW,Jubilee,SW6248,#adb5b9
SW,Storm Cloud,SW6249,#7a848d
SW,Granite Peak,SW6250,#606b75
SW,Outerspace,SW6251,#586168
SW,Ice Cube,SW6252,#e3e4e1
SW,Olympus White,SW6253,#d4d8d7
SW,Lazy Gray,SW6254,#bec1c3
SW,Morning Fog,SW6255,#a8aeb1
SW,Serious Gray,SW6256,#7d848b
SW,Gibraltar,SW6257,#626970
SW,Tricorn Black,SW6258,#2f2f30
SW,Spatial White,SW6259,#dddcdb
SW,Unique Gray,SW6260,#cbc9c9
SW,Swanky Gray,SW6261,#b5b1b5
SW,Mysterious Mauve,SW6262,#a6a3a9
SW,Exclusive Plum,SW6263,#736f78
SW,Midnight,SW6264,#5d5962
SW,Quixotic Plum,SW6265,#4a4653
SW,Sensitive Tint,SW6267,#cec9cc
SW,Veiled Violet,SW6268,#bdb5b9
SW,Beguiling Mauve,SW6269,#afa7ac
SW,Soulmate,SW6270,#85777b
SW,Expressive Plum,SW6271,#695c62
SW,Plum Brown,SW6272,#4e4247
SW,Destiny,SW6274,#cfc9c8
SW,Fashionable Gray,SW6275,#bdb8b8
SW,Mystical Shade,SW6276,#aea9aa
SW,Special Gray,SW6277,#7b787d
SW,Cloak Gray,SW6278,#605e63
SW,Black Swan,SW6279,#3a373e
SW,Wallflower,SW6281,#dbcfd4
SW,Mauve Finery,SW6282,#cbb8c0
SW,Thistle,SW6283,#aa8e9a
SW,Plum Dandy,SW6284,#8b6878
SW,Grape Harvest,SW6285,#7e5a6d
SW,Mature Grape,SW6286,#5f3f54
SW,Rosebud,SW6288,#e0cdd1
SW,Delightful,SW6289,#d2b6be
SW,Rosé,SW6290,#b995a1
SW,Moss Rose,SW6291,#9e6d79
SW,Berry Bush,SW6292,#8d5869
SW,Fabulous Grape,SW6293,#6d344f
SW,Demure,SW6295,#e8d4d5
SW,Fading Rose,SW6296,#dabdc1
SW,Rose Embroidery,SW6297,#c79ea2
SW,Concerto,SW6298,#9e6b75
SW,Aged Wine,SW6299,#895460
SW,Burgundy,SW6300,#63333e
SW,Innocence,SW6302,#ebd1cf
SW,Rose Colored,SW6303,#dcb6b5
SW,Pressed Flower,SW6304,#c39393
SW,Rambling Rose,SW6305,#995d62
SW,Cordial,SW6306,#864c52
SW,Fine Wine,SW6307,#723941
SW,Charming Pink,SW6309,#edd3d2
SW,Lotus Flower,SW6310,#e6bdbd
SW,Memorable Rose,SW6311,#cf8a8d
SW,Redbud,SW6312,#ad5e65
SW,Kirsch Red,SW6313,#974953
SW,Luxurious Red,SW6314,#863a42
SW,Rosy Outlook,SW6316,#ebcecb
SW,Gracious Rose,SW6317,#e3b7b1
SW,Resounding Rose,SW6318,#cd8e89
SW,Reddish,SW6319,#b56966
SW,Bravado Red,SW6320,#a0524e
SW,Red Bay,SW6321,#8e3738
SW,Intimate White,SW6322,#f0e1d8
SW,Romance,SW6323,#ebcfc3
SW,Mellow Coral,SW6324,#e3b5a8
SW,Constant Coral,SW6325,#cd8e7f
SW,Henna Shade,SW6326,#b3675d
SW,Bold Brick,SW6327,#a0584f
SW,Fireweed,SW6328,#7b3730
SW,Faint Coral,SW6329,#eeded5
SW,Quaint Peche,SW6330,#eacdc1
SW,Smoky Salmon,SW6331,#e2b6a7
SW,Coral Island,SW6332,#ce9382
SW,Foxy,SW6333,#a85e53
SW,Flower Pot,SW6334,#8f4438
SW,Fired Brick,SW6335,#83382a
SW,Nearly Peach,SW6336,#efded1
SW,Spun Sugar,SW6337,#edd2c0
SW,Warming Peach,SW6338,#e4b9a2
SW,Persimmon,SW6339,#d9987c
SW,Baked Clay,SW6340,#c1785c
SW,Red Cent,SW6341,#ad654c
SW,Spicy Hue,SW6342,#994b35
